"price","weight","x"
2015,0.76,5.7
4469,0.9,6.21
13899,1.5,7.2
531,0.31,4.24
6364,1.5,7.15
3105,1.52,7.53
3522,0.96,6.52
619,0.3,4.24
981,0.41,4.66
2890,0.8,5.87
4700,1.09,6.61
2444,0.78,5.8
428,0.23,3.94
2372,0.85,6.01
13819,1.51,7.18
4466,1,6.32
3454,0.96,6.51
14251,2.51,8.87
1338,0.52,5.12
4563,1.01,6.24
1374,0.5,5.05
3398,0.9,6.07
2298,0.57,5.49
12546,1.6,7.59
1712,0.56,5.36
945,0.4,4.82
4989,1.5,7.22
3730,0.91,6.09
4119,0.9,6.1
5871,1.68,7.48
1033,0.53,5.14
503,0.41,4.69
5251,1.33,7.3
6189,1,6.33
3453,0.9,6.15
16294,2.09,8.37
3153,0.9,6.07
3290,0.91,6.18
2437,0.5,5.04
3740,0.9,6.13
777,0.44,4.97
6328,1,6.28
9281,1.5,7.31
1581,0.67,5.54
1107,0.5,5.02
4154,1.09,6.58
13275,1.51,7.28
17608,2.52,8.57
707,0.31,4.3
877,0.5,4.97
1395,0.5,5.12
1948,0.7,5.77
1210,0.5,5.02
3923,1.01,6.35
11212,1.51,7.1
876,0.41,4.74
507,0.34,4.42
1668,0.61,5.48
4646,1,6.28
11554,2.01,7.95
619,0.32,4.32
571,0.31,4.25
6058,1.02,6.38
1060,0.51,5.38
2398,0.67,5.46
4020,0.97,6.24
756,0.44,4.81
2753,0.74,5.71
4712,1.02,6.41
4705,1.03,6.57
14148,1.51,7.35
2801,0.71,5.9
3316,0.84,5.98
10416,2,7.87
3796,0.91,6.06
2244,0.67,5.55
638,0.41,4.72
3051,1.02,6.31
4604,1.02,6.36
14266,2.16,8.18
4190,0.9,6.3
4081,1,6.28
4234,0.96,6.53
1063,0.45,4.86
533,0.31,4.29
676,0.41,4.91
1214,0.57,5.4
1013,0.4,4.86
641,0.34,4.5
3312,0.84,5.94
1426,0.49,4.95
524,0.26,4.03
3936,0.92,6.31
11522,2.19,8.23
6966,1.56,7.6
2447,0.76,6.05
568,0.3,4.26
2278,0.85,6.17
1336,0.58,5.48
2450,0.71,5.69
3250,0.83,5.95
2311,0.83,5.97
4072,1.01,6.37
722,0.42,4.75
14350,2.28,8.35
1554,0.52,5.08
678,0.3,4.23
2159,0.7,5.63
11716,1.59,7.39
14285,2.22,8.23
3816,0.9,6.04
3425,1.04,6.47
3115,0.7,5.69
1806,0.46,5.12
607,0.31,4.27
6352,1,6.26
5309,1.01,6.29
1813,0.51,5.24
567,0.33,4.38
3411,1.01,6.31
4187,0.9,6.06
6159,1.01,6.2
4790,0.94,6.25
11756,2.19,8.23
14654,1.51,7.18
603,0.3,4.32
16565,2.02,8.08
895,0.3,4.26
679,0.26,4.06
1783,0.71,5.91
588,0.35,4.49
1434,0.51,5
4961,1,6.55
3512,1.01,6.36
4255,1.26,6.78
570,0.41,4.7
2390,0.71,5.63
6543,1.03,6.35
12787,1.5,7.24
2386,0.78,5.82
3785,0.92,6.28
9368,1.52,7.18
7250,1.07,6.49
4185,1.01,6.41
6443,1.3,7.27
5700,1.01,6.48
2242,0.7,5.62
4121,1.01,6.34
1922,0.7,5.63
532,0.26,4.05
2225,0.91,6.3
4617,0.9,6.07
5443,1.01,6.34
12283,1.52,7.58
3773,1.02,6.54
3283,0.8,5.77
1736,0.56,5.34
1924,0.68,5.59
1424,0.51,5.14
1906,0.64,5.43
4493,1,6.36
3584,0.9,6.05
1397,0.5,5.03
2258,0.67,5.53
1056,0.39,4.82
4540,0.9,6.09
4389,1,6.24
2258,0.71,5.64
3312,0.96,6.27
11954,2.01,7.91
2573,0.71,5.64
3895,1.01,6.33
4719,1.01,6.35
417,0.3,4.26
11851,1.46,7.06
447,0.34,4.46
1041,0.39,4.71
3649,0.92,6.17
7727,1.5,7.19
5420,1,6.27
3115,0.9,6
3348,0.9,6.11
742,0.4,4.67
4295,1,6.61
1893,0.62,5.37
1917,0.5,4.97
869,0.4,4.67
4493,0.9,6.1
2277,0.72,5.63
478,0.23,3.83
5600,1,6.23
8831,1.71,7.48
15587,2.01,8.14
5429,1.31,6.9
914,0.48,4.84
7068,1.02,6.35
2189,0.8,5.86
3489,0.9,6.04
12467,1.6,7.38
4732,1,6.4
733,0.38,4.75
2274,0.71,5.66
430,0.31,4.35
12833,1.7,7.48
4443,0.84,6.06
2578,0.72,5.69
3445,0.91,6.16
7989,1.19,6.96
6440,1,6.26
4791,1.04,6.42
840,0.4,4.75
628,0.31,4.33
1806,0.52,5.14
3806,0.9,6.14
2114,0.68,5.68
2007,0.67,5.61
1554,0.6,5.37
4636,1.2,6.85
2604,0.7,5.63
725,0.41,4.75
3105,0.9,6.31
616,0.37,4.56
3301,0.9,6.17
2996,0.88,6.11
2001,0.72,5.67
712,0.42,4.83
651,0.31,4.29
1035,0.4,4.7
4583,1.02,6.56
11130,1.24,6.88
1665,0.54,5.26
4586,0.91,6.14
3888,1.01,6.37
18430,1.74,7.65
2079,0.52,5.18
1129,0.54,5.17
4604,1.02,6.54
2346,0.71,5.64
729,0.43,4.87
1117,0.58,5.26
3980,1.02,6.42
698,0.34,4.55
5294,1.01,6.38
491,0.3,4.38
792,0.43,4.8
5713,1.01,6.38
450,0.3,4.3
618,0.32,4.4
7710,1,6.49
8644,1.35,6.95
7207,1.04,6.45
4419,1,6.32
5542,1.01,6.37
6773,1.01,6.39
4661,0.94,6.24
605,0.3,4.3
2200,0.7,5.67
2682,0.7,5.63
5977,1.02,6.38
3593,0.82,6.02
907,0.31,4.32
449,0.24,4
16485,1.52,7.33
6315,1,6.25
2042,0.7,5.64
2649,0.71,5.69
15618,2.01,7.86
662,0.38,4.73
4515,0.9,6.15
2138,0.74,5.72
3780,1.04,6.39
4190,1.04,6.35
10662,2.22,8.33
4369,0.9,6.1
6996,1.56,7.64
5601,1.29,6.8
3789,1,6.3
4166,1.01,6.57
15025,2,7.98
17759,2.01,8.14
4665,0.86,6.05
2227,0.69,5.83
12915,2.02,7.98
4456,1.11,6.66
4462,1.24,6.85
2411,0.61,5.36
6563,1.01,6.42
414,0.23,3.94
3993,0.74,5.78
5515,1.08,6.47
1605,0.52,5.15
1219,0.52,5.14
1164,0.46,4.91
4325,0.93,6.32
591,0.27,4.14
976,0.43,4.84
11776,1.52,7.39
1089,0.4,4.74
1013,0.3,4.31
2343,0.7,5.73
3584,0.9,6.14
4463,0.9,6.3
5544,1,6.34
561,0.32,4.42
5562,1.18,6.8
2258,0.71,5.72
7127,1.01,6.39
2117,0.7,5.64
4137,1.02,6.47
1743,0.55,5.2
4283,1.11,6.59
4849,0.91,6.1
3217,0.71,5.73
13825,2.04,8.04
921,0.42,4.85
4537,1.1,6.54
2517,0.76,5.78
4800,1.03,6.48
4282,1.03,6.41
4012,0.91,6.12
2316,0.78,5.85
3429,0.78,5.86
823,0.41,4.83
2264,0.74,5.78
4868,1.01,6.57
5654,1.01,6.28
477,0.32,4.35
3774,1.29,7.11
5551,1.09,6.61
2137,0.71,5.72
1599,0.6,5.39
3897,1.01,6.38
12014,1.5,7.39
903,0.43,4.79
6818,1,6.21
2477,0.72,5.71
16092,2,8.11
2453,0.7,5.7
2618,0.93,6.18
5612,1.31,6.97
