"price","weight","cut"
8190,1.5,"Fair"
982,0.46,"Fair"
3891,1.1,"Fair"
1402,0.53,"Fair"
3304,1,"Fair"
1791,0.5,"Fair"
4320,1.45,"Fair"
3869,1.01,"Fair"
11154,1.5,"Fair"
3992,0.9,"Fair"
13387,2.01,"Fair"
17408,2.05,"Fair"
2982,0.9,"Fair"
4150,1,"Fair"
1410,0.62,"Fair"
16280,2.03,"Fair"
4398,1.04,"Fair"
3876,1.03,"Fair"
972,0.46,"Fair"
4191,1.01,"Fair"
5147,1.01,"Fair"
3991,1.01,"Fair"
1990,0.7,"Fair"
11202,2,"Fair"
1140,0.76,"Fair"
2070,0.69,"Fair"
5460,1.5,"Fair"
4032,1,"Fair"
6129,1.52,"Fair"
3353,0.94,"Fair"
2050,0.73,"Fair"
3633,1.02,"Fair"
14194,2.5,"Fair"
1999,0.7,"Fair"
1642,0.67,"Fair"
3536,0.92,"Fair"
4903,1.18,"Fair"
2318,0.7,"Fair"
8666,1.6,"Fair"
2517,0.96,"Fair"
819,0.3,"Fair"
2198,0.71,"Fair"
15562,2.01,"Fair"
1367,0.6,"Fair"
2292,0.77,"Fair"
3696,1.2,"Fair"
1723,0.7,"Fair"
2278,0.73,"Fair"
4163,1,"Fair"
6597,2.1,"Fair"
4355,1.01,"Fair"
3473,0.9,"Fair"
3767,1,"Fair"
2648,0.75,"Fair"
18565,2.02,"Fair"
5000,1.5,"Fair"
7300,1.5,"Fair"
1389,0.56,"Fair"
18242,3.01,"Fair"
2848,0.75,"Fair"
2550,0.7,"Fair"
5673,1.05,"Fair"
2359,0.78,"Fair"
840,0.4,"Fair"
1070,0.46,"Fair"
2617,0.74,"Fair"
9314,1.76,"Fair"
3801,1.01,"Fair"
4630,1,"Fair"
2318,0.8,"Fair"
5733,2.27,"Fair"
1799,0.72,"Fair"
10483,2,"Fair"
2068,0.96,"Fair"
2112,1,"Fair"
1367,0.48,"Fair"
13825,2.14,"Fair"
6289,2.49,"Fair"
3258,0.93,"Fair"
756,0.45,"Fair"
6209,1.5,"Fair"
629,0.31,"Fair"
2208,0.7,"Fair"
1305,0.6,"Fair"
2623,0.71,"Fair"
4435,1,"Fair"
4538,1.01,"Fair"
2538,0.97,"Fair"
945,0.45,"Fair"
7211,1.5,"Fair"
6905,1.52,"Fair"
2743,1,"Fair"
1577,0.5,"Fair"
1430,0.58,"Fair"
3975,1,"Fair"
