"price","weight","cut"
2015,0.76,"Good"
4469,0.9,"Good"
13899,1.5,"Good"
531,0.31,"Good"
6364,1.5,"Good"
3105,1.52,"Good"
3522,0.96,"Good"
619,0.3,"Good"
981,0.41,"Good"
2890,0.8,"Good"
4700,1.09,"Good"
2444,0.78,"Good"
428,0.23,"Good"
2372,0.85,"Good"
13819,1.51,"Good"
4466,1,"Good"
3454,0.96,"Good"
14251,2.51,"Good"
1338,0.52,"Good"
4563,1.01,"Good"
1374,0.5,"Good"
3398,0.9,"Good"
2298,0.57,"Good"
12546,1.6,"Good"
1712,0.56,"Good"
945,0.4,"Good"
4989,1.5,"Good"
3730,0.91,"Good"
4119,0.9,"Good"
5871,1.68,"Good"
1033,0.53,"Good"
503,0.41,"Good"
5251,1.33,"Good"
6189,1,"Good"
3453,0.9,"Good"
16294,2.09,"Good"
3153,0.9,"Good"
3290,0.91,"Good"
2437,0.5,"Good"
3740,0.9,"Good"
777,0.44,"Good"
6328,1,"Good"
9281,1.5,"Good"
1581,0.67,"Good"
1107,0.5,"Good"
4154,1.09,"Good"
13275,1.51,"Good"
17608,2.52,"Good"
707,0.31,"Good"
877,0.5,"Good"
1395,0.5,"Good"
1948,0.7,"Good"
1210,0.5,"Good"
3923,1.01,"Good"
11212,1.51,"Good"
876,0.41,"Good"
507,0.34,"Good"
1668,0.61,"Good"
4646,1,"Good"
11554,2.01,"Good"
619,0.32,"Good"
571,0.31,"Good"
6058,1.02,"Good"
1060,0.51,"Good"
2398,0.67,"Good"
4020,0.97,"Good"
756,0.44,"Good"
2753,0.74,"Good"
4712,1.02,"Good"
4705,1.03,"Good"
14148,1.51,"Good"
2801,0.71,"Good"
3316,0.84,"Good"
10416,2,"Good"
3796,0.91,"Good"
2244,0.67,"Good"
638,0.41,"Good"
3051,1.02,"Good"
4604,1.02,"Good"
14266,2.16,"Good"
4190,0.9,"Good"
4081,1,"Good"
4234,0.96,"Good"
1063,0.45,"Good"
533,0.31,"Good"
676,0.41,"Good"
1214,0.57,"Good"
1013,0.4,"Good"
641,0.34,"Good"
3312,0.84,"Good"
1426,0.49,"Good"
524,0.26,"Good"
3936,0.92,"Good"
11522,2.19,"Good"
6966,1.56,"Good"
2447,0.76,"Good"
568,0.3,"Good"
2278,0.85,"Good"
1336,0.58,"Good"
2450,0.71,"Good"
3250,0.83,"Good"
2311,0.83,"Good"
4072,1.01,"Good"
722,0.42,"Good"
14350,2.28,"Good"
1554,0.52,"Good"
678,0.3,"Good"
2159,0.7,"Good"
11716,1.59,"Good"
14285,2.22,"Good"
3816,0.9,"Good"
3425,1.04,"Good"
3115,0.7,"Good"
1806,0.46,"Good"
607,0.31,"Good"
6352,1,"Good"
5309,1.01,"Good"
1813,0.51,"Good"
567,0.33,"Good"
3411,1.01,"Good"
4187,0.9,"Good"
6159,1.01,"Good"
4790,0.94,"Good"
11756,2.19,"Good"
14654,1.51,"Good"
603,0.3,"Good"
16565,2.02,"Good"
895,0.3,"Good"
679,0.26,"Good"
1783,0.71,"Good"
588,0.35,"Good"
1434,0.51,"Good"
4961,1,"Good"
3512,1.01,"Good"
4255,1.26,"Good"
570,0.41,"Good"
2390,0.71,"Good"
6543,1.03,"Good"
12787,1.5,"Good"
2386,0.78,"Good"
3785,0.92,"Good"
9368,1.52,"Good"
7250,1.07,"Good"
4185,1.01,"Good"
6443,1.3,"Good"
5700,1.01,"Good"
2242,0.7,"Good"
4121,1.01,"Good"
1922,0.7,"Good"
532,0.26,"Good"
2225,0.91,"Good"
4617,0.9,"Good"
5443,1.01,"Good"
12283,1.52,"Good"
3773,1.02,"Good"
3283,0.8,"Good"
1736,0.56,"Good"
1924,0.68,"Good"
1424,0.51,"Good"
1906,0.64,"Good"
4493,1,"Good"
3584,0.9,"Good"
1397,0.5,"Good"
2258,0.67,"Good"
1056,0.39,"Good"
4540,0.9,"Good"
4389,1,"Good"
2258,0.71,"Good"
3312,0.96,"Good"
11954,2.01,"Good"
2573,0.71,"Good"
3895,1.01,"Good"
4719,1.01,"Good"
417,0.3,"Good"
11851,1.46,"Good"
447,0.34,"Good"
1041,0.39,"Good"
3649,0.92,"Good"
7727,1.5,"Good"
5420,1,"Good"
3115,0.9,"Good"
3348,0.9,"Good"
742,0.4,"Good"
4295,1,"Good"
1893,0.62,"Good"
1917,0.5,"Good"
869,0.4,"Good"
4493,0.9,"Good"
2277,0.72,"Good"
478,0.23,"Good"
5600,1,"Good"
8831,1.71,"Good"
15587,2.01,"Good"
5429,1.31,"Good"
914,0.48,"Good"
7068,1.02,"Good"
2189,0.8,"Good"
3489,0.9,"Good"
12467,1.6,"Good"
4732,1,"Good"
733,0.38,"Very Good"
2274,0.71,"Very Good"
430,0.31,"Very Good"
12833,1.7,"Very Good"
4443,0.84,"Very Good"
2578,0.72,"Very Good"
3445,0.91,"Very Good"
7989,1.19,"Very Good"
6440,1,"Very Good"
4791,1.04,"Very Good"
840,0.4,"Very Good"
628,0.31,"Very Good"
1806,0.52,"Very Good"
3806,0.9,"Very Good"
2114,0.68,"Very Good"
2007,0.67,"Very Good"
1554,0.6,"Very Good"
4636,1.2,"Very Good"
2604,0.7,"Very Good"
725,0.41,"Very Good"
3105,0.9,"Very Good"
616,0.37,"Very Good"
3301,0.9,"Very Good"
2996,0.88,"Very Good"
2001,0.72,"Very Good"
712,0.42,"Very Good"
651,0.31,"Very Good"
1035,0.4,"Very Good"
4583,1.02,"Very Good"
11130,1.24,"Very Good"
1665,0.54,"Very Good"
4586,0.91,"Very Good"
3888,1.01,"Very Good"
18430,1.74,"Very Good"
2079,0.52,"Very Good"
1129,0.54,"Very Good"
4604,1.02,"Very Good"
2346,0.71,"Very Good"
729,0.43,"Very Good"
1117,0.58,"Very Good"
3980,1.02,"Very Good"
698,0.34,"Very Good"
5294,1.01,"Very Good"
491,0.3,"Very Good"
792,0.43,"Very Good"
5713,1.01,"Very Good"
450,0.3,"Very Good"
618,0.32,"Very Good"
7710,1,"Very Good"
8644,1.35,"Very Good"
7207,1.04,"Very Good"
4419,1,"Very Good"
5542,1.01,"Very Good"
6773,1.01,"Very Good"
4661,0.94,"Very Good"
605,0.3,"Very Good"
2200,0.7,"Very Good"
2682,0.7,"Very Good"
5977,1.02,"Very Good"
3593,0.82,"Very Good"
907,0.31,"Very Good"
449,0.24,"Very Good"
16485,1.52,"Very Good"
6315,1,"Very Good"
2042,0.7,"Very Good"
